path,content-length
/Users/hotdog16/Downloads/openoffice/impress/impress_templates_otp/panavision.otp,922
/Users/hotdog16/Downloads/openoffice/impress/impress_templates_otp/titan.otp,1057
/Users/hotdog16/Downloads/openoffice/impress/impress_templates_otp/tokyo-midtown-1.otp,1074
/Users/hotdog16/Downloads/openoffice/impress/impress_templates_otp/tokyo-midtown-2.otp,1074
/Users/hotdog16/Downloads/openoffice/impress/impress_templates_otp/tokyo-midtown-3.otp,1074
/Users/hotdog16/Downloads/openoffice/impress/impress_templates_otp/widescreen-tv.otp,922
/Users/hotdog16/Downloads/openoffice/impress/impress_templates_otp/widescreen.otp,922
/Users/hotdog16/Downloads/openoffice/impress/impress_templates_otp/xuhai.otp,1061
/Users/hotdog16/Downloads/openoffice/impress/impress_templates_otp/xuhai2.otp,1156
/Users/hotdog16/Downloads/openoffice/impress/impress_templates_sti/cinemascope.sti,0
/Users/hotdog16/Downloads/openoffice/impress/impress_templates_sti/europa.sti,0
/Users/hotdog16/Downloads/openoffice/impress/impress_templates_sti/kaohsiung.sti,0
/Users/hotdog16/Downloads/openoffice/impress/impress_templates_sti/klee1.sti,0
/Users/hotdog16/Downloads/openoffice/impress/impress_templates_sti/klee2.sti,0
/Users/hotdog16/Downloads/openoffice/impress/impress_templates_sti/mars.sti,0
/Users/hotdog16/Downloads/openoffice/impress/impress_templates_sti/ooo2.sti,0
/Users/hotdog16/Downloads/openoffice/impress/impress_templates_sti/panavision.sti,0
/Users/hotdog16/Downloads/openoffice/impress/impress_templates_sti/titan.sti,0
/Users/hotdog16/Downloads/openoffice/impress/impress_templates_sti/tokyo-midtown-1.sti,0
/Users/hotdog16/Downloads/openoffice/impress/impress_templates_sti/tokyo-midtown-2.sti,0
/Users/hotdog16/Downloads/openoffice/impress/impress_templates_sti/tokyo-midtown-3.sti,0
/Users/hotdog16/Downloads/openoffice/impress/impress_templates_sti/widescreen-tv.sti,0
/Users/hotdog16/Downloads/openoffice/impress/impress_templates_sti/widescreen.sti,0
/Users/hotdog16/Downloads/openoffice/impress/impress_templates_sti/xuhai.sti,0
/Users/hotdog16/Downloads/openoffice/OO Extra/.DS_Store,0
/Users/hotdog16/Downloads/openoffice/OO Extra/artwork/abstractions.tar.gz,1701
/Users/hotdog16/Downloads/openoffice/OO Extra/artwork/abstractions.tar.info,123
/Users/hotdog16/Downloads/openoffice/OO Extra/artwork/blueman.info,228
/Users/hotdog16/Downloads/openoffice/OO Extra/artwork/blueman_EP2.info,166
